Eneko Agirre
Andrea Aler Tubella
Ofra Amir
Alessandro Artale
Haris Aziz
Ken Brown
Roberta Calegari
Kai-Wei Chang
Ulises Cortés
Sanmay Das
Virginia Dignum
Desmond Elliott
Meng Fang
Alessandro Farinelli
Ariel Felner
Friedrich Fraundorfer
Alex Fukunaga
Martin Gebser
Laura Giordano
Davide Grossi
Quanquan Gu
Bo Han
Julia Handl
Daniel Harabor
Patrik Haslum
Nick Hawes
Julia Hockenmaier
Xuanjing Huang
Erez Karpas
Sven Koenig
Mikko Koivisto
Akshat Kumar
Chu-Min Li
Bo Li
Fei Liu
Chao Ma
Wendy Mackay
Kuldeep Meel
Thomas Meyer
Michela Milano
Saif Mohammad
Alessandro Moschitti
Sriraam Natarajan
Hwee Tou Ng
Jakob Nordström
Frans Oliehoek
Ana Paiva
Rafael Penaloza
Maria Perez-Ortiz
Gilles Pesant
Marek Petrik
Eleanor Rieffel
Scott Sanner
Stefan Schlobach
Renate Schmidt
Laurent Simon
Piotr Skowron
Marija Slavkovik
Matthijs Spaan
Siddharth Srivastava
Roni Stern
Nathan Sturtevant
Stefan Szeider
Myrthe Tielman
Ivor Tsang
Ivan Varzinczak
Toby Walsh
Chang-Dong Wang
Renata Wassermann
Yair Zick
Lars Kotthoff
Christian Bessiere
Tias Guns
Sasha Rubin
Roie Zivan
Umberto Grandi
Nisarg Shah
Hadi Hosseini
Alessandro Abate
Eleonora Giunchiglia
Bettina Konighofer
Luca Pasa
Matteo Zavatteri
Gabriele Röger
Reshef Meir
Ferdinando Fioretto
Chang Xu
Margret Keuper
Pablo Samuel Castro
Jianwen Xie
Atlas Wang
Tongliang Liu
Giuseppe Lisanti
Fabrizio Riguzzi
Viviana Mascardi
Paolo Turrini
Vadim Indelman
Valerio Basile
