author,html_saved,json_saved,num_results,error
Eneko Agirre,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Eneko_Agirre.html,/home/yisong/WING-Find-Experts/data-AE/publist/Eneko Agirre.json,50,
Andrea Aler Tubella,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Andrea_Aler_Tubella.html,/home/yisong/WING-Find-Experts/data-AE/publist/Andrea Aler Tubella.json,6,
Ofra Amir,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Ofra_Amir.html,/home/yisong/WING-Find-Experts/data-AE/publist/Ofra Amir.json,19,
Alessandro Artale,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Alessandro_Artale.html,/home/yisong/WING-Find-Experts/data-AE/publist/Alessandro Artale.json,23,
Haris Aziz,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Haris_Aziz.html,/home/yisong/WING-Find-Experts/data-AE/publist/Haris Aziz.json,50,
Ken Brown,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Ken_Brown.html,/home/yisong/WING-Find-Experts/data-AE/publist/Ken Brown.json,50,
Roberta Calegari,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Roberta_Calegari.html,/home/yisong/WING-Find-Experts/data-AE/publist/Roberta Calegari.json,6,
Kai-Wei Chang,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Kai-Wei_Chang.html,/home/yisong/WING-Find-Experts/data-AE/publist/Kai-Wei Chang.json,50,
Ulises Cortés,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Ulises_Cortés.html,/home/yisong/WING-Find-Experts/data-AE/publist/Ulises Cortés.json,21,
Sanmay Das,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Sanmay_Das.html,/home/yisong/WING-Find-Experts/data-AE/publist/Sanmay Das.json,21,
Virginia Dignum,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Virginia_Dignum.html,/home/yisong/WING-Find-Experts/data-AE/publist/Virginia Dignum.json,22,
Desmond Elliott,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Desmond_Elliott.html,/home/yisong/WING-Find-Experts/data-AE/publist/Desmond Elliott.json,50,
Meng Fang,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Meng_Fang.html,/home/yisong/WING-Find-Experts/data-AE/publist/Meng Fang.json,50,
Alessandro Farinelli,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Alessandro_Farinelli.html,/home/yisong/WING-Find-Experts/data-AE/publist/Alessandro Farinelli.json,50,
Ariel Felner,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Ariel_Felner.html,/home/yisong/WING-Find-Experts/data-AE/publist/Ariel Felner.json,17,
Friedrich Fraundorfer,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Friedrich_Fraundorfer.html,/home/yisong/WING-Find-Experts/data-AE/publist/Friedrich Fraundorfer.json,42,
Alex Fukunaga,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Alex_Fukunaga.html,/home/yisong/WING-Find-Experts/data-AE/publist/Alex Fukunaga.json,16,
Martin Gebser,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Martin_Gebser.html,/home/yisong/WING-Find-Experts/data-AE/publist/Martin Gebser.json,34,
Laura Giordano,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Laura_Giordano.html,/home/yisong/WING-Find-Experts/data-AE/publist/Laura Giordano.json,32,
Davide Grossi,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Davide_Grossi.html,/home/yisong/WING-Find-Experts/data-AE/publist/Davide Grossi.json,37,
Quanquan Gu,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Quanquan_Gu.html,/home/yisong/WING-Find-Experts/data-AE/publist/Quanquan Gu.json,50,
Bo Han,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Bo_Han.html,/home/yisong/WING-Find-Experts/data-AE/publist/Bo Han.json,50,
Julia Handl,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Julia_Handl.html,/home/yisong/WING-Find-Experts/data-AE/publist/Julia Handl.json,5,
Daniel Harabor,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Daniel_Harabor.html,/home/yisong/WING-Find-Experts/data-AE/publist/Daniel Harabor.json,29,
Patrik Haslum,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Patrik_Haslum.html,/home/yisong/WING-Find-Experts/data-AE/publist/Patrik Haslum.json,6,
Nick Hawes,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Nick_Hawes.html,/home/yisong/WING-Find-Experts/data-AE/publist/Nick Hawes.json,42,
Julia Hockenmaier,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Julia_Hockenmaier.html,/home/yisong/WING-Find-Experts/data-AE/publist/Julia Hockenmaier.json,22,
Xuanjing Huang,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Xuanjing_Huang.html,/home/yisong/WING-Find-Experts/data-AE/publist/Xuanjing Huang.json,50,
Erez Karpas,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Erez_Karpas.html,/home/yisong/WING-Find-Experts/data-AE/publist/Erez Karpas.json,13,
Sven Koenig,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Sven_Koenig.html,/home/yisong/WING-Find-Experts/data-AE/publist/Sven Koenig.json,50,
Mikko Koivisto,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Mikko_Koivisto.html,/home/yisong/WING-Find-Experts/data-AE/publist/Mikko Koivisto.json,42,
Akshat Kumar,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Akshat_Kumar.html,/home/yisong/WING-Find-Experts/data-AE/publist/Akshat Kumar.json,50,
Chu-Min Li,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Chu-Min_Li.html,/home/yisong/WING-Find-Experts/data-AE/publist/Chu-Min Li.json,18,
Bo Li,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Bo_Li.html,/home/yisong/WING-Find-Experts/data-AE/publist/Bo Li.json,50,
Fei Liu,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Fei_Liu.html,/home/yisong/WING-Find-Experts/data-AE/publist/Fei Liu.json,50,
Chao Ma,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Chao_Ma.html,/home/yisong/WING-Find-Experts/data-AE/publist/Chao Ma.json,50,
Wendy Mackay,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Wendy_Mackay.html,/home/yisong/WING-Find-Experts/data-AE/publist/Wendy Mackay.json,1,
Kuldeep Meel,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Kuldeep_Meel.html,/home/yisong/WING-Find-Experts/data-AE/publist/Kuldeep Meel.json,50,
Thomas Meyer,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Thomas_Meyer.html,/home/yisong/WING-Find-Experts/data-AE/publist/Thomas Meyer.json,50,
Michela Milano,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Michela_Milano.html,/home/yisong/WING-Find-Experts/data-AE/publist/Michela Milano.json,17,
Saif Mohammad,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Saif_Mohammad.html,/home/yisong/WING-Find-Experts/data-AE/publist/Saif Mohammad.json,50,
Alessandro Moschitti,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Alessandro_Moschitti.html,/home/yisong/WING-Find-Experts/data-AE/publist/Alessandro Moschitti.json,49,
Sriraam Natarajan,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Sriraam_Natarajan.html,/home/yisong/WING-Find-Experts/data-AE/publist/Sriraam Natarajan.json,47,
Hwee Tou Ng,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Hwee_Tou_Ng.html,/home/yisong/WING-Find-Experts/data-AE/publist/Hwee Tou Ng.json,47,
Jakob Nordström,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Jakob_Nordström.html,/home/yisong/WING-Find-Experts/data-AE/publist/Jakob Nordström.json,29,
Frans Oliehoek,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Frans_Oliehoek.html,/home/yisong/WING-Find-Experts/data-AE/publist/Frans Oliehoek.json,50,
Ana Paiva,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Ana_Paiva.html,/home/yisong/WING-Find-Experts/data-AE/publist/Ana Paiva.json,26,
Rafael Penaloza,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Rafael_Penaloza.html,/home/yisong/WING-Find-Experts/data-AE/publist/Rafael Penaloza.json,33,
Maria Perez-Ortiz,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Maria_Perez-Ortiz.html,/home/yisong/WING-Find-Experts/data-AE/publist/Maria Perez-Ortiz.json,35,
Gilles Pesant,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Gilles_Pesant.html,/home/yisong/WING-Find-Experts/data-AE/publist/Gilles Pesant.json,6,
Marek Petrik,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Marek_Petrik.html,/home/yisong/WING-Find-Experts/data-AE/publist/Marek Petrik.json,45,
Eleanor Rieffel,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Eleanor_Rieffel.html,/home/yisong/WING-Find-Experts/data-AE/publist/Eleanor Rieffel.json,50,
Scott Sanner,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Scott_Sanner.html,/home/yisong/WING-Find-Experts/data-AE/publist/Scott Sanner.json,50,
Stefan Schlobach,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Stefan_Schlobach.html,/home/yisong/WING-Find-Experts/data-AE/publist/Stefan Schlobach.json,3,
Renate Schmidt,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Renate_Schmidt.html,/home/yisong/WING-Find-Experts/data-AE/publist/Renate Schmidt.json,12,
Laurent Simon,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Laurent_Simon.html,/home/yisong/WING-Find-Experts/data-AE/publist/Laurent Simon.json,50,
Piotr Skowron,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Piotr_Skowron.html,/home/yisong/WING-Find-Experts/data-AE/publist/Piotr Skowron.json,50,
Marija Slavkovik,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Marija_Slavkovik.html,/home/yisong/WING-Find-Experts/data-AE/publist/Marija Slavkovik.json,22,
Matthijs Spaan,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Matthijs_Spaan.html,/home/yisong/WING-Find-Experts/data-AE/publist/Matthijs Spaan.json,31,
Siddharth Srivastava,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Siddharth_Srivastava.html,/home/yisong/WING-Find-Experts/data-AE/publist/Siddharth Srivastava.json,50,
Roni Stern,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Roni_Stern.html,/home/yisong/WING-Find-Experts/data-AE/publist/Roni Stern.json,37,
Nathan Sturtevant,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Nathan_Sturtevant.html,/home/yisong/WING-Find-Experts/data-AE/publist/Nathan Sturtevant.json,20,
Stefan Szeider,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Stefan_Szeider.html,/home/yisong/WING-Find-Experts/data-AE/publist/Stefan Szeider.json,50,
Myrthe Tielman,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Myrthe_Tielman.html,/home/yisong/WING-Find-Experts/data-AE/publist/Myrthe Tielman.json,5,
Ivor Tsang,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Ivor_Tsang.html,/home/yisong/WING-Find-Experts/data-AE/publist/Ivor Tsang.json,50,
Ivan Varzinczak,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Ivan_Varzinczak.html,/home/yisong/WING-Find-Experts/data-AE/publist/Ivan Varzinczak.json,11,
Toby Walsh,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Toby_Walsh.html,/home/yisong/WING-Find-Experts/data-AE/publist/Toby Walsh.json,50,
Chang-Dong Wang,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Chang-Dong_Wang.html,/home/yisong/WING-Find-Experts/data-AE/publist/Chang-Dong Wang.json,41,
Renata Wassermann,/home/yisong/WING-Find-Experts/data-AE/htmls/arxiv_author_Renata_Wassermann.html,/home/yisong/WING-Find-Experts/data-AE/publist/Renata Wassermann.json,3,
